,Dengue,Mosquito,Repel,Fogger,Fogging,Aerosol,Adabor,Uttar Khan,Uttara,Kadamtali,Kalabagan,Kafrul,Kamrangirchar,Cantonment,Khilkhet,Khilgaon,Gulshan,Gendaria,Chawkbazar,Demra,Turag,Tejgaon,Dakshinkhan,Darus Salam,Dhanmondi,New Market,Paltan,Pallabi,Bangshal,Badda,Bimanbandar,Motijheel,Mirpur,Mohammadpur,Jatrabari,Ramna,Rampura,Lalbagh,Shah Ali,Shahbagh,Sher-e-Bangla Nagar,Shyampur,Sabujbagh,Sutrapur,Hazaribagh
0,0,2,7,1,0,0,1,63,43,1,3,2,0,6,0,2,37,2,9,3,35,28,0,3,32,7,17,4,0,10,87,16,80,15,14,38,3,7,2,31,4,3,2,1,11
1,4,1,13,0,0,1,1,57,26,2,4,2,0,20,0,0,38,1,5,6,3,17,0,1,35,3,37,10,2,9,80,29,73,18,14,37,4,5,2,35,0,6,3,7,3
2,5,11,26,6,0,3,4,68,58,10,26,2,0,17,0,8,35,0,4,11,3,38,2,2,61,5,23,17,3,11,285,21,87,13,8,25,5,10,3,42,4,3,3,1,4
3,5,6,62,3,0,2,13,185,196,34,28,31,0,55,0,31,258,4,71,33,107,79,17,8,192,17,157,41,19,188,468,144,347,88,115,141,40,34,12,249,4,35,27,9,37
4,14,27,91,2,5,0,62,365,408,37,49,22,0,112,0,128,350,5,133,68,45,209,49,50,244,55,250,52,31,202,677,249,741,244,242,242,126,77,25,379,25,82,20,56,49
5,8,0,58,0,1,0,21,207,139,31,12,16,7,27,0,48,125,2,71,32,24,203,21,4,131,52,95,35,17,40,347,131,298,147,89,61,51,49,7,192,26,29,17,16,20
6,39,21,86,2,3,7,21,264,265,64,84,3,1,83,1,77,310,10,104,37,29,204,16,20,206,44,140,57,35,149,864,171,608,225,65,151,104,52,16,312,23,24,60,4,35
7,337,79,888,13,7,9,138,3505,3943,442,566,648,21,3302,15,686,2422,67,630,483,388,2144,197,174,3781,560,1439,463,184,1886,9233,2254,7255,2216,1181,3096,890,652,176,2968,250,459,185,168,690
8,445,47,423,10,18,4,117,1939,1092,274,215,145,7,555,3,272,1265,31,499,202,282,2744,130,52,919,199,1062,203,36,433,4319,795,2586,1415,385,3403,297,515,163,809,115,670,76,76,118
9,751,28,749,2,2,3,141,1556,2293,215,219,122,10,495,2,285,1114,25,261,355,197,3020,98,58,764,224,717,101,73,348,3104,1837,2929,1032,507,3191,358,234,54,2009,140,404,78,139,82
10,620,29,531,6,0,9,421,1965,1366,207,199,224,2,486,4,277,2382,36,411,1301,169,3206,123,106,2203,225,2435,314,125,3715,2483,3633,4018,1191,533,2872,339,327,145,1142,128,285,192,148,163
11,109,26,271,8,1,14,208,1818,1368,373,197,90,6,503,5,258,2245,32,282,1310,195,1165,42,163,1116,183,2129,191,109,3960,3161,1028,5358,908,263,594,238,210,117,850,105,341,159,88,118
12,71,18,186,3,0,0,68,1381,1556,168,215,45,5,309,2,210,905,76,134,2175,260,1208,166,73,1236,174,646,335,82,4203,3062,1014,3631,553,406,306,299,154,64,884,171,242,97,49,49
13,143,75,507,20,2,23,109,2983,2990,479,429,79,10,629,12,555,1546,62,3825,372,1842,1546,194,140,2302,322,1094,227,177,504,6349,1861,5305,1442,722,1148,682,857,102,1790,233,413,335,207,566
14,83,56,378,22,3,10,56,1779,1753,204,239,60,25,787,1,197,1452,34,582,208,284,895,62,110,1694,153,664,236,124,606,5005,884,2418,604,286,556,603,324,90,1087,129,163,84,51,136
15,55,12,195,4,1,3,206,1057,1252,159,237,88,2,315,10,404,1185,23,326,446,115,551,44,134,907,161,521,96,75,248,2398,823,2023,629,570,1026,300,226,107,727,113,119,167,116,92
16,41,7,65,3,0,0,78,608,732,97,116,49,2,123,0,143,386,23,164,112,46,397,52,54,443,117,272,113,53,115,2026,423,684,318,226,165,130,123,51,297,62,114,169,32,74
17,388,70,265,9,9,45,142,1307,2003,288,228,76,0,333,5,364,818,55,304,165,251,555,74,119,1036,147,561,167,110,353,3427,690,1393,718,449,634,293,269,276,1400,109,159,92,71,153
18,350,73,82,13,8,5,9,246,342,39,29,15,1,86,1,66,271,18,44,97,85,86,19,10,119,22,88,45,28,202,997,105,273,140,55,216,51,59,13,417,12,33,14,36,29
19,14554,1501,2275,458,116,252,104,1731,1681,293,377,76,2,515,1,406,1297,64,342,200,275,737,136,160,2121,226,810,315,235,861,4186,754,4070,1422,482,555,410,646,200,749,139,307,94,107,434
20,3899,463,970,151,36,32,85,2158,2748,273,1361,81,6,511,6,482,2893,210,422,390,434,1265,114,143,1854,278,1250,375,277,374,4917,3552,4515,1121,423,758,483,444,122,609,202,344,1016,262,198
21,1079,132,581,22,20,8,114,2057,2097,221,909,232,5,431,5,474,2465,112,3733,339,261,1070,29,102,1383,238,1161,390,147,676,5133,2590,3766,1874,373,1713,486,522,98,930,179,289,735,214,185
22,713,136,464,40,10,1,69,2233,2030,252,394,73,15,467,4,459,2126,103,682,310,143,1043,135,163,1422,290,951,249,119,341,4713,1096,2711,1025,359,972,522,512,150,883,93,224,121,308,193
23,301,50,197,26,3,0,50,744,435,145,197,38,15,527,0,136,648,25,315,100,112,383,69,53,513,70,515,106,62,195,1814,405,1929,339,113,775,191,137,64,568,83,100,49,82,80
